time, ACC_X, ACC_Y, ACC_Z, B_X, B_Y, B_Z, EULER_X, EULER_Y, EULER_Z, GYRO_X, GYRO_Y, GYRO_Z
'2021-05-09 23:24:30 325',-0.137,-1.004,-0.11,-0.464,0.36,0.126,-96.06,-7.48,170.53,0.157,0.088,0.106
'2021-05-09 23:24:30 273',-0.136,-1.006,-0.111,-0.461,0.359,0.127,-96.27,-7.36,170.34,0.024,0.089,-0.062
'2021-05-09 23:24:30 228',-0.136,-1.004,-0.111,-0.464,0.356,0.124,-96.25,-7.33,170.38,0.076,0.035,-0.015
'2021-05-09 23:24:30 165',-0.135,-1.002,-0.112,-0.465,0.359,0.131,-96.3,-7.52,170.29,0.068,0.089,0.026
'2021-05-09 23:24:30 123',-0.135,-1.003,-0.111,-0.459,0.359,0.132,-96.2,-7.46,170.27,0.112,-0.007,-0.031
'2021-05-09 23:24:30 078',-0.135,-1.002,-0.112,-0.465,0.359,0.129,-96.33,-7.5,170.23,0.065,0.053,-0.015
'2021-05-09 23:24:30 015',-0.135,-1.002,-0.112,-0.466,0.357,0.131,-96.28,-7.51,170.22,0.066,0.064,-0.008
'2021-05-09 23:24:29 960',-0.133,-1.001,-0.112,-0.465,0.356,0.119,-96.47,-7.6,170.36,0.013,0.003,0.084
'2021-05-09 23:24:29 928',-0.135,-1.001,-0.112,-0.465,0.36,0.135,-96.33,-7.55,170.19,0.149,-0.01,-0.037
'2021-05-09 23:24:29 874',-0.134,-1.001,-0.112,-0.469,0.36,0.131,-96.44,-7.58,170.36,0.055,0.036,0.037
'2021-05-09 23:24:29 810',-0.133,-0.999,-0.112,-0.465,0.362,0.132,-96.46,-7.55,170.3,-0.024,-0.011,0.082
'2021-05-09 23:24:29 756',-0.135,-1.005,-0.111,-0.465,0.36,0.127,-96.38,-7.71,170.35,0.082,0.057,0.048
'2021-05-09 23:24:29 724',-0.134,-1.003,-0.112,-0.461,0.368,0.134,-96.4,-7.56,170.38,0.033,0.062,-0.006
'2021-05-09 23:24:29 662',-0.134,-1.002,-0.109,-0.465,0.359,0.129,-96.59,-7.66,170.32,0.066,-0.017,-0.012
'2021-05-09 23:24:29 606',-0.136,-1.004,-0.111,-0.466,0.36,0.131,-96.42,-7.7,170.29,0.138,0.035,0.003
'2021-05-09 23:24:29 562',-0.136,-1.003,-0.11,-0.461,0.362,0.135,-96.62,-7.52,170.39,0.063,0.042,0.132
'2021-05-09 23:24:29 512',-0.136,-1.003,-0.109,-0.462,0.362,0.139,-96.65,-7.72,170.36,0.088,0.036,0.032
'2021-05-09 23:24:29 458',-0.137,-1.002,-0.11,-0.459,0.357,0.134,-96.56,-7.31,170.41,0.058,0.001,0.01
'2021-05-09 23:24:29 412',-0.136,-1.003,-0.11,-0.462,0.36,0.131,-96.62,-7.37,170.4,0.002,0.067,0.036
'2021-05-09 23:24:29 364',-0.137,-1.001,-0.11,-0.465,0.362,0.131,-96.51,-7.41,170.61,0.073,0.026,-0.003
'2021-05-09 23:24:29 308',-0.137,-1.003,-0.11,-0.462,0.359,0.132,-96.56,-7.28,170.49,0.025,0.01,-0.003
'2021-05-09 23:24:29 241',-0.136,-1,-0.109,-0.466,0.359,0.132,-96.37,-7.37,170.63,0.002,0.094,-0.053
'2021-05-09 23:24:29 214',-0.135,-0.999,-0.109,-0.466,0.359,0.127,-96.5,-7.38,170.65,-0.018,0.008,0.066
'2021-05-09 23:24:29 135',-0.137,-1.001,-0.111,-0.466,0.353,0.132,-96.28,-7.52,170.71,0.092,0.103,0.026
'2021-05-09 23:24:29 091',-0.137,-1.001,-0.11,-0.467,0.362,0.135,-96.26,-7.44,170.61,0.101,0.054,-0.113
'2021-05-09 23:24:29 027',-0.137,-1.001,-0.111,-0.471,0.356,0.129,-96.24,-7.67,170.61,0.098,0.066,-0.009
'2021-05-09 23:24:28 985',-0.137,-1.001,-0.111,-0.468,0.36,0.135,-96.25,-7.5,170.67,0.075,0.073,-0.018
'2021-05-09 23:24:28 921',-0.136,-1,-0.111,-0.468,0.365,0.126,-96.26,-7.69,170.42,0.074,0.012,0.019
'2021-05-09 23:24:28 877',-0.137,-1.001,-0.111,-0.465,0.362,0.127,-96.25,-7.72,170.58,0.082,0.072,0.065
'2021-05-09 23:24:28 825',-0.136,-1.001,-0.109,-0.462,0.362,0.121,-96.32,-7.57,170.42,0.093,0.012,0.001
'2021-05-09 23:24:28 771',-0.136,-1,-0.111,-0.466,0.36,0.131,-96.29,-7.7,170.41,0.135,-0.021,0.098
'2021-05-09 23:24:28 737',-0.135,-1,-0.11,-0.465,0.36,0.134,-96.47,-7.6,170.29,0.021,0.044,0.031
'2021-05-09 23:24:28 675',-0.136,-1.001,-0.11,-0.465,0.359,0.126,-96.41,-7.59,170.38,0.039,0.056,0.062
'2021-05-09 23:24:28 621',-0.134,-1.001,-0.11,-0.464,0.363,0.132,-96.3,-7.64,170.31,0.097,0.011,-0.015
'2021-05-09 23:24:28 587',-0.135,-1,-0.109,-0.469,0.359,0.137,-96.41,-7.6,170.3,0.022,0.073,0.059
'2021-05-09 23:24:28 522',-0.135,-1.002,-0.112,-0.464,0.363,0.124,-96.33,-7.78,170.46,0.011,0.035,0.037
'2021-05-09 23:24:28 471',-0.134,-1.002,-0.111,-0.462,0.362,0.134,-96.33,-7.7,170.35,0.089,-0.019,-0.032
'2021-05-09 23:24:28 436',-0.136,-1.001,-0.112,-0.461,0.359,0.126,-96.3,-7.73,170.29,0.056,0.064,0.095
'2021-05-09 23:24:28 372',-0.135,-1.002,-0.112,-0.462,0.362,0.121,-96.28,-7.8,170.42,0.013,0.027,0.044
'2021-05-09 23:24:28 319',-0.135,-1,-0.111,-0.461,0.353,0.129,-96.32,-7.75,170.19,0.047,-0.001,0.094
'2021-05-09 23:24:28 286',-0.136,-1.001,-0.111,-0.462,0.356,0.129,-96.33,-7.68,170.29,0.083,0.046,-0.034
'2021-05-09 23:24:28 224',-0.136,-1.002,-0.111,-0.462,0.357,0.127,-96.34,-7.64,170.27,0.115,0.043,0.041
'2021-05-09 23:24:28 169',-0.136,-1.002,-0.11,-0.457,0.354,0.129,-96.3,-7.68,170.21,0.082,0.024,0.086
'2021-05-09 23:24:28 125',-0.134,-1.001,-0.11,-0.465,0.36,0.137,-96.35,-7.69,170.16,0.029,0.04,-0.044
'2021-05-09 23:24:28 074',-0.135,-1.002,-0.11,-0.464,0.359,0.131,-96.42,-7.63,170.23,0.027,0.05,0.03
'2021-05-09 23:24:28 020',-0.134,-1.001,-0.109,-0.459,0.357,0.127,-96.2,-7.85,170.14,0.025,-0.018,0.054
'2021-05-09 23:24:27 975',-0.134,-1.002,-0.11,-0.465,0.357,0.131,-96.28,-7.79,170.21,0.073,0.081,0.019
'2021-05-09 23:24:27 921',-0.135,-1.001,-0.11,-0.469,0.357,0.127,-96.05,-7.75,170.28,0.094,0.02,0.128
'2021-05-09 23:24:27 870',-0.134,-0.999,-0.108,-0.464,0.354,0.13,-96.16,-7.84,170.18,0.035,-0.025,0.061
'2021-05-09 23:24:27 813',-0.137,-1.002,-0.11,-0.466,0.353,0.129,-96.05,-7.49,170.17,0.12,0.028,0.027
'2021-05-09 23:24:27 771',-0.136,-1.002,-0.11,-0.468,0.354,0.124,-96.06,-7.63,170.26,0.08,0.045,0.133
'2021-05-09 23:24:27 696',-0.138,-1.001,-0.109,-0.462,0.362,0.121,-96.11,-7.43,170.16,0.031,-0.045,0.011
'2021-05-09 23:24:27 663',-0.136,-1.003,-0.111,-0.462,0.356,0.13,-96.1,-7.47,170.17,0.101,0.095,0.034
'2021-05-09 23:24:27 599',-0.138,-1.002,-0.11,-0.464,0.36,0.124,-96.15,-7.49,170.17,0.088,0.065,-0.094
'2021-05-09 23:24:27 546',-0.138,-1.002,-0.11,-0.464,0.362,0.126,-96.11,-7.41,170.18,0.079,-0.008,-0.025
'2021-05-09 23:24:27 512',-0.137,-1.002,-0.107,-0.464,0.359,0.131,-96.14,-7.67,170.07,0.075,-0.055,-0.072
'2021-05-09 23:24:27 449',-0.138,-1.002,-0.11,-0.468,0.359,0.127,-96.19,-7.62,170.1,0.055,0.059,-0.014
'2021-05-09 23:24:27 386',-0.137,-1.001,-0.107,-0.464,0.362,0.131,-96.16,-8.02,170.1,0.061,0.06,0.098
'2021-05-09 23:24:27 362',-0.138,-1.003,-0.108,-0.459,0.357,0.127,-96.16,-7.77,170.19,0.052,0.036,-0.1
'2021-05-09 23:24:27 281',-0.136,-1.001,-0.106,-0.464,0.363,0.129,-96.11,-7.78,170.16,0.025,-0.008,0.101
'2021-05-09 23:24:27 236',-0.136,-1.001,-0.106,-0.465,0.368,0.132,-96.16,-7.97,170.05,0.03,-0.028,0.116
'2021-05-09 23:24:27 172',-0.136,-1.004,-0.108,-0.465,0.359,0.127,-96.16,-7.59,170.29,0.049,0.028,0.132
'2021-05-09 23:24:27 131',-0.136,-1.004,-0.108,-0.466,0.359,0.129,-96.08,-7.69,170.22,0.127,-0.032,0.06
'2021-05-09 23:24:27 081',-0.136,-1.003,-0.108,-0.466,0.362,0.131,-96.09,-7.41,170.25,0.12,0.037,0.034
'2021-05-09 23:24:27 022',-0.135,-1.003,-0.108,-0.465,0.359,0.131,-96.14,-7.46,170.27,0.041,0.038,0.084
'2021-05-09 23:24:26 977',-0.135,-1.002,-0.109,-0.466,0.357,0.124,-96.09,-7.4,170.06,0.072,0.092,-0.072
'2021-05-09 23:24:26 931',-0.136,-1.003,-0.109,-0.462,0.354,0.129,-96.13,-7.37,170.25,0.057,0.085,0.017
'2021-05-09 23:24:26 871',-0.136,-1.001,-0.108,-0.471,0.357,0.135,-95.96,-7.82,170.06,0.046,-0.003,0.016
'2021-05-09 23:24:26 827',-0.136,-1.002,-0.108,-0.459,0.359,0.129,-96.07,-7.62,169.94,0.049,0.02,-0.098
'2021-05-09 23:24:26 764',-0.134,-1,-0.108,-0.468,0.36,0.121,-95.9,-7.75,170.09,0.084,-0.064,0.123
'2021-05-09 23:24:26 721',-0.136,-1.001,-0.108,-0.475,0.362,0.126,-95.89,-7.84,170.14,0.098,0.039,0.059
'2021-05-09 23:24:26 667',-0.134,-1,-0.11,-0.464,0.359,0.124,-95.92,-7.51,170.21,0.065,0.066,0.007
'2021-05-09 23:24:26 614',-0.133,-0.999,-0.108,-0.471,0.36,0.124,-95.95,-7.65,170.12,0.045,-0.108,0.107
'2021-05-09 23:24:26 584',-0.136,-1.004,-0.11,-0.462,0.362,0.127,-95.96,-7.61,170.1,0.111,0.059,0.037
'2021-05-09 23:24:26 517',-0.136,-1.003,-0.109,-0.465,0.359,0.124,-95.9,-7.54,170.13,0.064,0.023,0.001
'2021-05-09 23:24:26 463',-0.136,-1.003,-0.11,-0.459,0.351,0.126,-95.97,-7.62,169.92,0.091,-0.085,-0.031
'2021-05-09 23:24:26 434',-0.136,-1.003,-0.11,-0.466,0.362,0.126,-95.99,-7.6,170.04,0.085,0.05,0.025
'2021-05-09 23:24:26 366',-0.136,-1.001,-0.11,-0.468,0.356,0.124,-95.92,-7.81,170.09,0.101,0.09,-0.005
'2021-05-09 23:24:26 313',-0.136,-1.003,-0.11,-0.464,0.354,0.124,-96,-7.68,170.04,0.089,0.027,-0.035
'2021-05-09 23:24:26 273',-0.135,-1,-0.11,-0.461,0.357,0.127,-95.99,-7.83,169.88,0.077,-0.017,0.115
'2021-05-09 23:24:26 216',-0.134,-1.001,-0.109,-0.465,0.354,0.127,-95.94,-7.88,169.97,0.109,0.05,0.075
'2021-05-09 23:24:26 162',-0.133,-0.998,-0.109,-0.466,0.362,0.132,-96.06,-7.66,169.74,0.079,-0.181,0.05
'2021-05-09 23:24:26 123',-0.134,-0.999,-0.11,-0.461,0.363,0.127,-95.94,-7.71,169.81,0.137,0.076,0.079
'2021-05-09 23:24:26 054',-0.134,-1.001,-0.11,-0.464,0.368,0.129,-96.08,-7.82,170.06,0.061,0.012,0.077
'2021-05-09 23:24:26 012',-0.134,-0.998,-0.109,-0.465,0.359,0.132,-96.09,-7.62,169.98,0.044,-0.053,-0.06
'2021-05-09 23:24:25 961',-0.135,-1.002,-0.11,-0.465,0.36,0.131,-96.1,-7.73,169.98,0.115,0.009,-0.037
'2021-05-09 23:24:25 904',-0.134,-1.002,-0.11,-0.459,0.357,0.127,-96.06,-7.78,170.05,0.085,0.055,0.063
'2021-05-09 23:24:25 854',-0.136,-1.002,-0.109,-0.462,0.36,0.137,-95.99,-7.75,170.03,0.1,0.049,0.059
'2021-05-09 23:24:25 811',-0.135,-1.003,-0.11,-0.466,0.353,0.132,-96.11,-7.85,169.98,0.081,0.016,0.051
'2021-05-09 23:24:25 744',-0.136,-1.002,-0.11,-0.459,0.354,0.124,-95.95,-7.7,170.05,0.074,0.089,0.084
'2021-05-09 23:24:25 704',-0.136,-1.002,-0.11,-0.467,0.357,0.135,-95.96,-7.72,170.06,0.123,0.074,0.085
'2021-05-09 23:24:25 636',-0.136,-1.002,-0.111,-0.461,0.359,0.127,-95.96,-7.54,169.78,0.146,0.04,0.026
'2021-05-09 23:24:25 594',-0.136,-1.002,-0.109,-0.455,0.354,0.129,-95.93,-7.65,169.93,0.078,0.015,0.064
'2021-05-09 23:24:25 532',-0.135,-1.001,-0.109,-0.466,0.356,0.129,-95.97,-7.56,169.95,0.101,-0.11,0.057
'2021-05-09 23:24:25 486',-0.134,-1,-0.11,-0.464,0.359,0.129,-96.05,-7.53,169.73,0.051,-0.135,0.051
'2021-05-09 23:24:25 432',-0.135,-1.005,-0.111,-0.464,0.357,0.129,-96.09,-7.65,170.14,0.114,-0.036,0.11
'2021-05-09 23:24:25 382',-0.136,-1.003,-0.11,-0.468,0.353,0.13,-96.02,-7.5,170.1,0.05,0.009,-0.053
'2021-05-09 23:24:25 325',-0.135,-1.004,-0.11,-0.464,0.362,0.135,-96.1,-7.28,170.21,0.101,-0.015,0.027
'2021-05-09 23:24:25 282',-0.136,-1.005,-0.11,-0.461,0.356,0.13,-96.14,-7.55,170.2,0.085,0.101,0.092
'2021-05-09 23:24:25 228',-0.136,-1.004,-0.11,-0.465,0.357,0.132,-96.22,-7.24,170.29,0.05,0.164,0.013
'2021-05-09 23:24:25 175',-0.137,-1.005,-0.11,-0.458,0.362,0.126,-96.09,-7.24,170.31,0.17,0.041,0.007
'2021-05-09 23:24:25 122',-0.136,-1.003,-0.109,-0.462,0.354,0.134,-96.2,-7.24,170.13,0.088,-0.006,-0.019
'2021-05-09 23:24:25 078',-0.136,-1.003,-0.11,-0.458,0.357,0.127,-96.16,-7.23,170.16,0.061,0.035,0.021
'2021-05-09 23:24:25 024',-0.135,-1.001,-0.11,-0.465,0.357,0.127,-96.25,-7.34,170.35,0.056,0.042,-0.04
'2021-05-09 23:24:24 972',-0.135,-1.003,-0.109,-0.468,0.356,0.132,-96.22,-7.2,170.28,0.053,0.022,-0.024
'2021-05-09 23:24:24 917',-0.134,-1.001,-0.109,-0.462,0.357,0.129,-96.18,-7.43,170.47,0.056,0.029,0.014
'2021-05-09 23:24:24 874',-0.134,-1.001,-0.109,-0.468,0.35,0.126,-96.24,-7.4,170.34,0.073,0.005,-0.04
'2021-05-09 23:24:24 830',-0.135,-1.004,-0.111,-0.468,0.353,0.122,-96.2,-7.53,170.58,0.058,0.043,0.034
'2021-05-09 23:24:24 767',-0.135,-1.003,-0.11,-0.465,0.353,0.13,-96.15,-7.43,170.49,0.08,0.063,-0.049
'2021-05-09 23:24:24 713',-0.135,-1.003,-0.112,-0.462,0.359,0.126,-96.12,-7.49,170.26,0.108,0.045,0.065
'2021-05-09 23:24:24 680',-0.134,-1.003,-0.112,-0.468,0.356,0.122,-96.19,-7.52,170.54,0.041,0.119,0.047
'2021-05-09 23:24:24 617',-0.135,-1.002,-0.112,-0.465,0.354,0.126,-96.12,-7.4,170.25,0.118,0.082,0.009
'2021-05-09 23:24:24 563',-0.135,-1.004,-0.112,-0.465,0.357,0.132,-96.15,-7.44,170.21,0.066,0.015,0.082
'2021-05-09 23:24:24 523',-0.133,-1.001,-0.111,-0.461,0.354,0.129,-96.13,-7.42,170.17,0.058,0.024,0.003
'2021-05-09 23:24:24 467',-0.135,-1.002,-0.111,-0.462,0.354,0.126,-96.16,-7.42,170.16,0.046,0.038,0.022
'2021-05-09 23:24:24 422',-0.134,-1.002,-0.11,-0.468,0.36,0.127,-96.15,-7.39,170.3,0.05,0.068,-0.03
'2021-05-09 23:24:24 373',-0.135,-1.003,-0.11,-0.464,0.36,0.132,-96.09,-7.45,170.18,0.134,-0.037,-0.026
'2021-05-09 23:24:24 319',-0.134,-1.002,-0.111,-0.466,0.36,0.131,-96.25,-7.55,170.38,0.155,0.007,0.067
'2021-05-09 23:24:24 272',-0.135,-1.001,-0.11,-0.458,0.354,0.13,-96.14,-7.5,170.33,0.116,0.048,-0.027
'2021-05-09 23:24:24 231',-0.134,-1.003,-0.11,-0.471,0.362,0.131,-96.28,-7.43,170.65,0.074,0.081,0.057
'2021-05-09 23:24:24 187',-0.134,-1.004,-0.113,-0.466,0.362,0.129,-96.35,-7.36,170.37,0.117,0.077,0.003
'2021-05-09 23:24:24 186',-0.136,-1.005,-0.114,-0.468,0.354,0.129,-96.32,-7.49,170.44,0.073,0.085,0.034
'2021-05-09 23:24:24 184',-0.135,-1.002,-0.112,-0.464,0.35,0.126,-96.36,-7.51,170.44,0.031,0.042,0.029
'2021-05-09 23:24:24 169',-0.133,-1.001,-0.11,-0.461,0.362,0.132,-96.35,-7.5,170.41,0.059,-0.041,0.1
'2021-05-09 23:24:24 081',-0.133,-1.002,-0.111,-0.468,0.362,0.129,-96.26,-7.38,170.6,0.117,0.107,0.071
'2021-05-09 23:24:24 037',-0.135,-1.005,-0.113,-0.466,0.356,0.131,-96.41,-7.42,170.39,0.03,0.039,0.004
'2021-05-09 23:24:24 036',-0.135,-1.003,-0.112,-0.464,0.354,0.127,-96.3,-7.47,170.37,0.104,-0.057,-0.025
'2021-05-09 23:24:24 034',-0.135,-1.002,-0.112,-0.468,0.353,0.124,-96.32,-7.5,170.41,0.082,0.061,0.009
'2021-05-09 23:24:23 792',-0.135,-1.002,-0.112,-0.465,0.359,0.126,-96.37,-7.61,170.28,0.052,0.08,-0.007
'2021-05-09 23:24:23 686',-0.135,-1.002,-0.111,-0.466,0.363,0.129,-96.44,-7.54,170.14,0.021,0.027,0.109
'2021-05-09 23:24:23 642',-0.135,-1.002,-0.111,-0.465,0.359,0.127,-96.38,-7.67,170.19,0.081,-0.035,0.074
'2021-05-09 23:24:23 590',-0.134,-1.001,-0.112,-0.465,0.36,0.137,-96.26,-7.37,169.98,0.093,0.124,0.025
'2021-05-09 23:24:23 536',-0.135,-1.001,-0.112,-0.465,0.365,0.129,-96.4,-7.43,170.11,-0.001,0.067,0.066
'2021-05-09 23:24:23 483',-0.135,-1.003,-0.113,-0.461,0.351,0.13,-96.2,-7.4,170.09,0.082,-0.044,-0.047
'2021-05-09 23:24:23 440',-0.135,-1.002,-0.112,-0.459,0.356,0.134,-96.24,-7.36,169.89,0.071,-0.043,0.005
'2021-05-09 23:24:23 384',-0.135,-1,-0.112,-0.467,0.356,0.135,-96.35,-7.53,170.3,0.049,0.028,0.027
'2021-05-09 23:24:23 333',-0.134,-1.001,-0.113,-0.466,0.353,0.129,-96.2,-7.46,170.19,0.124,-0.022,0.033
'2021-05-09 23:24:23 287',-0.134,-1.001,-0.111,-0.464,0.354,0.13,-96.22,-7.58,170.15,0.078,0.091,0.008
'2021-05-09 23:24:23 234',-0.135,-1.002,-0.112,-0.466,0.356,0.131,-96.29,-7.51,170.34,0.034,0.094,-0.026
'2021-05-09 23:24:23 172',-0.132,-1,-0.111,-0.464,0.354,0.129,-96.3,-7.43,170,-0.02,0.003,0.097
'2021-05-09 23:24:23 137',-0.134,-1.001,-0.111,-0.456,0.353,0.124,-96.2,-7.62,170.08,0.087,0.008,0.057
'2021-05-09 23:24:23 074',-0.134,-1.002,-0.11,-0.467,0.353,0.135,-96.18,-7.2,170.12,0.124,0.052,-0.027
'2021-05-09 23:24:23 022',-0.135,-1.002,-0.11,-0.459,0.356,0.134,-96.19,-7.34,170.01,0.092,0.011,0.106
'2021-05-09 23:24:22 976',-0.134,-1.002,-0.111,-0.469,0.359,0.126,-96.17,-7.29,169.99,0.052,0.028,-0.009
'2021-05-09 23:24:22 924',-0.135,-1.001,-0.11,-0.468,0.36,0.134,-96.21,-7.22,170.14,0.073,0.129,-0.017
'2021-05-09 23:24:22 880',-0.135,-1.003,-0.112,-0.469,0.354,0.132,-96.08,-7.53,170.04,0.113,0.076,-0.074
'2021-05-09 23:24:22 826',-0.133,-1,-0.11,-0.468,0.359,0.127,-96.17,-7.31,169.95,0.004,-0.082,0.019
'2021-05-09 23:24:22 773',-0.135,-1.004,-0.112,-0.462,0.359,0.13,-96.12,-7.74,170.03,0.125,-0.027,0.041
'2021-05-09 23:24:22 730',-0.135,-1.003,-0.111,-0.462,0.357,0.127,-96.1,-7.66,170.01,0.103,0.028,-0.04
'2021-05-09 23:24:22 677',-0.136,-1.004,-0.112,-0.458,0.353,0.129,-96.1,-7.67,169.95,0.133,-0.016,0.111
'2021-05-09 23:24:22 623',-0.136,-1.004,-0.112,-0.461,0.363,0.131,-96.18,-7.72,170.09,0.05,0.095,0.032
'2021-05-09 23:24:22 609',-0.136,-1.003,-0.113,-0.462,0.353,0.129,-96.23,-7.47,170.13,0.07,0.072,0.02
'2021-05-09 23:24:22 608',-0.134,-1.002,-0.111,-0.469,0.359,0.124,-96.24,-7.36,170.14,0.108,0.034,0.008
'2021-05-09 23:24:22 606',-0.132,-1.001,-0.112,-0.466,0.356,0.132,-96.4,-7.36,170.05,-0.006,0.031,0.003
'2021-05-09 23:24:22 527',-0.136,-1.004,-0.112,-0.459,0.348,0.132,-96.16,-7.55,169.99,0.152,-0.029,0.077
'2021-05-09 23:24:22 459',-0.135,-1.002,-0.113,-0.465,0.354,0.13,-96.21,-7.46,170.07,0.085,0.026,0.04
'2021-05-09 23:24:22 458',-0.134,-1.001,-0.111,-0.462,0.36,0.126,-96.32,-7.37,170.08,0.078,0.041,-0.037
'2021-05-09 23:24:22 456',-0.133,-1.001,-0.11,-0.465,0.356,0.134,-96.3,-7.38,170.06,0.042,0.019,-0.059
'2021-05-09 23:24:22 268',-0.133,-1.002,-0.111,-0.466,0.362,0.131,-96.23,-7.42,170.27,0.099,0.035,0.019
'2021-05-09 23:24:22 162',-0.134,-1.004,-0.111,-0.462,0.357,0.134,-96.38,-7.33,170.21,0.095,0.092,0.061
'2021-05-09 23:24:22 118',-0.133,-1.003,-0.112,-0.465,0.354,0.132,-96.28,-7.42,170.18,0.122,0.043,0.03
'2021-05-09 23:24:22 053',-0.135,-1.005,-0.112,-0.461,0.36,0.127,-96.45,-7.32,170.19,0.039,0.1,-0.001
'2021-05-09 23:24:22 012',-0.134,-1.005,-0.112,-0.466,0.353,0.132,-96.39,-7.28,170.16,0.113,0.013,0.016
'2021-05-09 23:24:21 950',-0.135,-1.003,-0.112,-0.461,0.348,0.126,-96.46,-7.25,170.17,0.043,0.031,-0.001
'2021-05-09 23:24:21 903',-0.134,-1.002,-0.112,-0.458,0.362,0.126,-96.43,-7.34,170.08,0.024,0.004,0.042
'2021-05-09 23:24:21 840',-0.134,-1.002,-0.111,-0.469,0.357,0.135,-96.41,-7.39,170.22,0.06,0.095,-0.064
'2021-05-09 23:24:21 800',-0.135,-1.002,-0.111,-0.464,0.357,0.132,-96.46,-7.25,170.14,0,0.013,-0.044
'2021-05-09 23:24:21 744',-0.133,-1.001,-0.11,-0.466,0.362,0.126,-96.14,-7.57,170.17,0.035,0.024,0.121
'2021-05-09 23:24:21 690',-0.135,-1.002,-0.11,-0.465,0.356,0.137,-96.39,-7.5,170.18,-0.016,0.041,-0.08
'2021-05-09 23:24:21 637',-0.132,-1.001,-0.109,-0.472,0.363,0.126,-96.06,-7.33,170.14,0.106,-0.076,0.077
'2021-05-09 23:24:21 594',-0.132,-1,-0.109,-0.471,0.36,0.121,-96.11,-7.46,170.13,0.018,-0.014,0.091
'2021-05-09 23:24:21 531',-0.133,-1.004,-0.109,-0.469,0.354,0.134,-96.29,-7.27,170.13,0.037,0.074,-0.04
'2021-05-09 23:24:21 487',-0.133,-1.002,-0.109,-0.474,0.362,0.129,-96.14,-7.24,170.22,0.149,0.001,0.04
'2021-05-09 23:24:21 381',-0.134,-1.004,-0.111,-0.465,0.351,0.126,-96.24,-7.34,170.11,0.074,0.016,0.004
'2021-05-09 23:24:11 392',-0.133,-1.003,-0.108,-0.459,0.363,0.124,-95.81,-7.32,169.77,0.169,-0.029,-0.051
'2021-05-09 23:24:11 285',-0.133,-1.003,-0.108,-0.462,0.357,0.127,-96.03,-7.58,169.95,0.09,-0.017,-0.027
'2021-05-09 23:24:11 242',-0.134,-1.002,-0.108,-0.464,0.359,0.124,-95.95,-7.4,169.79,0.106,-0.103,-0.037
'2021-05-09 23:24:11 175',-0.132,-1.003,-0.109,-0.464,0.354,0.126,-96.04,-7.68,170.18,0.14,0.045,0.095
'2021-05-09 23:24:11 135',-0.132,-1.003,-0.108,-0.465,0.36,0.127,-96.07,-7.66,169.99,0.063,0,0.016
'2021-05-09 23:24:11 070',-0.131,-1.001,-0.108,-0.461,0.363,0.124,-96,-7.63,170.13,0.064,-0.036,0.098
'2021-05-09 23:24:11 025',-0.131,-1.001,-0.109,-0.459,0.354,0.132,-96.12,-7.63,170.13,0.014,0.017,0.061
'2021-05-09 23:24:10 971',-0.132,-1.002,-0.108,-0.471,0.359,0.129,-95.88,-7.64,170.33,0.02,0.045,0.039
'2021-05-09 23:24:10 920',-0.131,-1.001,-0.108,-0.466,0.366,0.131,-96.01,-7.56,170.17,0.047,-0.026,-0.001
'2021-05-09 23:24:10 863',-0.132,-1.003,-0.108,-0.462,0.363,0.123,-95.86,-7.47,170.32,0.049,0.031,-0.015
'2021-05-09 23:24:10 821',-0.132,-1.003,-0.108,-0.469,0.356,0.127,-95.78,-7.65,170.32,0.126,-0.004,0.073
'2021-05-09 23:24:10 770',-0.135,-1.004,-0.108,-0.461,0.354,0.124,-95.89,-7.67,170.21,0.058,0.096,0.025
'2021-05-09 23:24:10 713',-0.135,-1.005,-0.108,-0.462,0.362,0.126,-95.82,-7.53,170.29,0.176,0.042,-0.036
'2021-05-09 23:24:10 670',-0.136,-1.003,-0.108,-0.466,0.354,0.124,-95.92,-7.81,170.13,0.114,-0.056,0.037
'2021-05-09 23:24:10 620',-0.135,-1.004,-0.107,-0.462,0.354,0.121,-95.85,-7.7,170.1,0.076,0.043,-0.026
'2021-05-09 23:24:10 573',-0.136,-1.003,-0.108,-0.461,0.36,0.124,-96.01,-7.83,170.17,0.07,-0.016,0.144
'2021-05-09 23:24:10 520',-0.136,-1.003,-0.108,-0.466,0.354,0.124,-95.99,-7.81,170.19,0.107,0.029,0.043
'2021-05-09 23:24:10 458',-0.135,-1.002,-0.108,-0.464,0.363,0.129,-96,-7.61,170.1,0.108,0.056,-0.019
'2021-05-09 23:24:10 423',-0.135,-1.002,-0.108,-0.465,0.36,0.127,-96.03,-7.7,170.18,0.068,0.037,0.117
'2021-05-09 23:24:10 361',-0.134,-1.001,-0.108,-0.462,0.356,0.129,-96.08,-7.7,170.1,0.051,0.032,0.009
'2021-05-09 23:24:10 308',-0.136,-1.002,-0.108,-0.464,0.356,0.13,-96.04,-7.67,170.06,0.147,0.038,-0.008
'2021-05-09 23:24:10 266',-0.135,-1.002,-0.108,-0.468,0.356,0.126,-95.97,-7.79,170.23,0.1,0.019,0.07
'2021-05-09 23:24:10 211',-0.133,-1,-0.107,-0.465,0.359,0.132,-96.05,-7.74,170.1,0.022,-0.045,0.018
